"","Plant","ExpLoc","ID","Site","Couple","Sex","Cohort","NumButterflies","EnclCol","EnclID","FlowerHeads","EmergDate","DateWeighed","TrialDay","Weight","OrigWeight","Feeding","Notes","ForewingLength","ForewingDamage","SurfaceArea","TotalSA"
"152","RudHir","GH","VH30","VH",NA,"M","A",1,"Black",NA,13,231,232,1,0.6251,0.6251,"","",55,"N",57.5276403953524,747.859325139581
"153","RudHir","GH","MVD29",NA,"MVD","F","A",1,"White",NA,19,235,242,7,0.2594,0.4621,"Y","",44,"Y",57.5276403953524,1093.0251675117
"154","RudHir","GH","PCD82",NA,"PCD","F","A",1,"Black",NA,18,234,234,0,0.4767,0.4767,"N","",47,"N",57.5276403953524,1035.49752711634
"155","RudHir","GH","VH30","VH",NA,"M","A",1,"Black",NA,13,231,238,7,0.5169,0.6251,"","",55,"N",57.5276403953524,747.859325139581
"156","RudHir","GH","PCD77",NA,"PCD","F","A",1,"Black",NA,8,235,235,0,0.4791,0.4791,"Y","",47,"N",57.5276403953524,460.221123162819
"157","RudHir","GH","TWA74",NA,"TWA","M","B",1,"Black",NA,13,240,245,5,0.345,0.5199,"N","",47,"N",57.5276403953524,747.859325139581
"158","RudHir","GH","VH30","VH",NA,"M","A",1,"Black",NA,13,231,236,5,0.641,0.6251,"","",55,"N",57.5276403953524,747.859325139581
"159","RudHir","GH","PCD77",NA,"PCD","F","A",1,"Black",NA,8,235,242,7,0.2929,0.4791,"Y","",47,"N",57.5276403953524,460.221123162819
"160","SolAlt","Field","Jacob11",NA,"Jacob","F","AF",2,"FBlack","GRG",86,238,238,0,0.538,0.538,"N","",47,"N",954.230592368788,82063.8309437157
"161","SolAlt","Field","Jacob11",NA,"Jacob","F","AF",2,"FBlack","GRG",86,238,239,1,0.4531,0.538,"N","",47,"N",954.230592368788,82063.8309437157
