"","ID","RawWeight_day0","RawWeight_day1","RawWeight_day5","RawWeight_day7","RawWeight_day10","Couple","Cohort","Plant","ExpLoc","FlowerHeads","NumButterflies","EnclCol","Sex","EmergDate","ForewingLength","ForewingDamage","RawWeightGain_day0","RawWeightGain_day1","RawWeightGain_day5","RawWeightGain_day7","RawWeightGain_day10","RelWeightGain_day0","RelWeightGain_day1","RelWeightGain_day5","RelWeightGain_day7","RelWeightGain_day10","TotalSA"
"66","VH14",0.5665,0.5329,0.475,0.4646,0.4166,NA,"BF","SolAlt","Field",36,1,"FBlack","M",244,49,"N",0,-0.0336,-0.0915,-0.1019,-0.1499,0,-0.0593115622241835,-0.161518093556929,-0.179876434245366,-0.264607237422771,327187.952748241
"67","VH16",0.5292,0.4607,0.3149,0.3236,NA,NA,"B","HelHel","GH",20,1,"Black","F",242,48,"N",0,-0.0685,-0.2143,-0.2056,NA,0,-0.129440665154951,-0.404950869236584,-0.388510959939531,NA,327187.952748241
"68","VH17",0.5321,0.4712,0.4068,0.3795,NA,NA,"BF","EutMac","Field",14,1,"FBlack","F",246,48,"N",0,-0.0609,-0.1253,-0.1526,NA,0,-0.114452170644616,-0.235482052245819,-0.286788197707198,NA,132542.773037341
"69","VH18",0.534,0.4532,0.3805,0.3255,NA,NA,"B","SolAlt","GH",6,1,"Black","M",241,46,"N",0,-0.0808,-0.1535,-0.2085,NA,0,-0.151310861423221,-0.287453183520599,-0.390449438202247,NA,28042.1073533548
"70","VH19",0.609,0.5699,0.4594,0.4384,0.3172,NA,"BF","SolAlt","Field",29,1,"FBlack","F",244,48,"Y",0,-0.0391,-0.1496,-0.1706,-0.2918,0,-0.0642036124794746,-0.245648604269294,-0.280131362889984,-0.479146141215107,32423.6866273165
"71","VH20",0.5953,0.5536,0.46,0.45,0.3905,NA,"BF","EutMac","Field",14,2,"FBlack","F",244,45,"N",0,-0.0417000000000001,-0.1353,-0.1453,-0.2048,0,-0.070048714933647,-0.227280362842264,-0.244078615823954,-0.344028221065009,36805.2659012782
"72","VH21",0.5852,0.51,0.4154,0.3737,NA,NA,"BF","EutMac","Field",NA,1,"FBlack","M",246,49,"N",0,-0.0752,-0.1698,-0.2115,NA,0,-0.128503075871497,-0.290157211209843,-0.361414900888585,NA,96394.7440271571
"73","VH22",0.5724,0.4692,0.4053,0.358,NA,NA,"A","SolAlt","GH",6,1,"Black","F",237,48,"N",0,-0.1032,-0.1671,-0.2144,NA,0,-0.180293501048218,-0.291928721174004,-0.374563242487771,NA,79087.5058950084
"76","VH25",0.5938,0.5108,0.4626,0.4769,0.5302,NA,"B","EchPur","GH",15,1,"Black","M",244,48,"N",0,-0.083,-0.1312,-0.1169,-0.0636,0,-0.139777702930279,-0.220949814752442,-0.196867632199394,-0.107106769956214,84564.4799874605
"77","VH26",0.5591,0.4549,0.4189,0.3512,NA,NA,"B","SolAlt","GH",6,1,"Black","F",243,49,"N",0,-0.1042,-0.1402,-0.2079,NA,0,-0.186370953317832,-0.25076015024146,-0.371847612233947,NA,139553.29987568
"78","VH27",0.6191,0.5321,0.5106,0.4916,NA,NA,"AF","SolAlt","Field",86,2,"FBlack","F",238,51,"N",0,-0.087,-0.1085,-0.1275,NA,0,-0.140526570828622,-0.175254401550638,-0.205944112421257,NA,48416.4509772766
"79","VH3",0.4738,0.4173,0.4151,0.3561,NA,NA,"B","SolAlt","GH",10,1,"White","F",242,46,"N",0,-0.0565,-0.0587,-0.1177,NA,0,-0.119248628113128,-0.123891937526382,-0.248417053609118,NA,54550.661960823
"81","VH5",0.6431,0.5376,0.3952,0.3329,NA,NA,"B","HelHel","GH",31,1,"White","F",243,51,"N",0,-0.1055,-0.2479,-0.3102,NA,0,-0.164049136992692,-0.385476597729747,-0.482351111802208,NA,61780.2677628598
"82","VH6",0.5941,0.5161,0.4358,0.4667,NA,NA,"B","SolAlt","GH",3,1,"Black","M",240,50,"N",0,-0.078,-0.1583,-0.1274,NA,0,-0.131291028446389,-0.266453459013634,-0.214442013129103,NA,69448.0314922927
"83","VH7",0.5708,0.5001,0.3566,0.3708,NA,NA,"B","SymEri","GH",637,1,"Black","M",242,48,"N",0,-0.0707,-0.2142,-0.2,NA,0,-0.123861247372109,-0.375262789067975,-0.350385423966363,NA,35490.7921190896
